Task name,Assignee,Description,Due date,Epic,Parent task,Priority,Status,Sub-task
Repo & tooling setup,Cristina Semikina,"Next + React + Tailwind, folder structure",,Project foundation,,High,Done,"Init Next project (https://www.notion.so/Init-Next-project-3250d6836937800e81fdf5084ec714d3?pvs=21), Install Tailwind + shadcn/ui (https://www.notion.so/Install-Tailwind-shadcn-ui-3250d6836937808182ebe0b129cad36d?pvs=21)"
Init Next project,Cristina Semikina,"npm create next, install deps",,Project foundation,Repo & tooling setup (https://www.notion.so/Repo-tooling-setup-3250d6836937806985d7de80dacd9825?pvs=21),High,Done,
Install Tailwind + shadcn/ui,Cristina Semikina,"Config tailwind.config, base styles",,Project foundation,Repo & tooling setup (https://www.notion.so/Repo-tooling-setup-3250d6836937806985d7de80dacd9825?pvs=21),High,Done,
Mock data layer — 3 use cases,,JSON files for wildfire / seismic / glacier. One file per use case,,Project foundation,,High,Not started,"Wildfire JSON dataset (https://www.notion.so/Wildfire-JSON-dataset-3250d68369378047b80af425df19e75a?pvs=21), Alert events per use case (https://www.notion.so/Alert-events-per-use-case-3250d68369378009abefcccdda947e0a?pvs=21), Seismic JSON dataset (https://www.notion.so/Seismic-JSON-dataset-3250d683693780928293cf3d1e2d2575?pvs=21), Glacier JSON dataset (https://www.notion.so/Glacier-JSON-dataset-3250d6836937802a82c0cb20e4a8bb12?pvs=21), Message history per node (https://www.notion.so/Message-history-per-node-3250d68369378049ba56f5c5a407d3b1?pvs=21), Shared node envelope fields (https://www.notion.so/Shared-node-envelope-fields-3250d683693780a693aadc0bd6a45866?pvs=21)"
Wildfire JSON dataset,,"15 nodes, fields: temp, humidity, smoke_ppm, co_ppm, wind_speed, wind_dir",,Project foundation,Mock data layer — 3 use cases (https://www.notion.so/Mock-data-layer-3-use-cases-3250d6836937808987a4f70cd14b97d1?pvs=21),High,Not started,
App shell + navigation,,"Persistent top bar, left sidebar, routing between 6 screens",,Project foundation,,High,Not started,"Top navbar (https://www.notion.so/Top-navbar-3250d68369378072bcb5c0cab214b025?pvs=21), Left sidebar (https://www.notion.so/Left-sidebar-3250d68369378059bb69e20eded439d4?pvs=21), React Router setup (https://www.notion.so/React-Router-setup-3250d683693780768c43d598c1ad2122?pvs=21)"
Alert events per use case,,8–12 pre-built alert events (triggered/resolved) per dataset,,Project foundation,Mock data layer — 3 use cases (https://www.notion.so/Mock-data-layer-3-use-cases-3250d6836937808987a4f70cd14b97d1?pvs=21),Medium,Not started,
Seismic JSON dataset,,"12 nodes, fields: vibration_mms, frequency_hz, tilt_angle, acceleration_g, magnitude",,Project foundation,Mock data layer — 3 use cases (https://www.notion.so/Mock-data-layer-3-use-cases-3250d6836937808987a4f70cd14b97d1?pvs=21),High,Not started,
Use-case switcher,,Dropdown in navbar swaps the active JSON dataset across all screens,,Project foundation,,High,Not started,"UseCaseContext (React context) (https://www.notion.so/UseCaseContext-React-context-3250d683693780feb754f60da3a0c941?pvs=21), Switcher dropdown UI (https://www.notion.so/Switcher-dropdown-UI-3250d683693780a28d81e58ed4902578?pvs=21)"
Glacier JSON dataset,,"10 nodes, fields: surface_temp, melt_rate_mm, movement_mm, crack_detected, snow_depth_cm",,Project foundation,Mock data layer — 3 use cases (https://www.notion.so/Mock-data-layer-3-use-cases-3250d6836937808987a4f70cd14b97d1?pvs=21),High,Not started,
Message history per node,,50 timestamped messages per node with decoded payload values,,Project foundation,Mock data layer — 3 use cases (https://www.notion.so/Mock-data-layer-3-use-cases-3250d6836937808987a4f70cd14b97d1?pvs=21),High,Not started,
Shared node envelope fields,,"All nodes have: id, name, status, last_seen, rssi, snr, battery, lat, lng, gateway_id",,Project foundation,Mock data layer — 3 use cases (https://www.notion.so/Mock-data-layer-3-use-cases-3250d6836937808987a4f70cd14b97d1?pvs=21),High,Not started,
KPI strip,Simon Mayer,"4 metric cards: nodes online, messages today, avg RSSI, active alerts",,Screen 1 — Network overview,,High,Not started,"KPI card component (https://www.notion.so/KPI-card-component-3250d6836937802ab0d8c0b7592e3a03?pvs=21), Wire KPI values to active dataset (https://www.notion.so/Wire-KPI-values-to-active-dataset-3250d683693780a8a3abfb8e899a27a3?pvs=21)"
Triage node list,Simon Mayer,"Nodes sorted by urgency: offline first, low battery second, healthy last",,Screen 1 — Network overview,,High,Not started,"NodeRow component (https://www.notion.so/NodeRow-component-3250d68369378099b6a8e77f5a2ca223?pvs=21), Sort logic (https://www.notion.so/Sort-logic-3250d683693780b6b900d4d52e8901ec?pvs=21)"
Recent messages feed,Simon Mayer,"Last 10 messages across all nodes: timestamp, node name, payload preview",,Screen 1 — Network overview,,Medium,Not started,"Flatten + sort messages from dataset (https://www.notion.so/Flatten-sort-messages-from-dataset-3250d6836937807aa57cdd0e3168b95f?pvs=21), MessageRow component (https://www.notion.so/MessageRow-component-3250d68369378015a9e7f3a4946b0b5e?pvs=21)"
Active alert banner,Simon Mayer,Sticky banner at top when critical alerts exist; links to alerts screen,,Screen 1 — Network overview,,High,Not started,
Top navbar,,"Logo, use-case switcher dropdown, active alert badge",,Project foundation,App shell + navigation (https://www.notion.so/App-shell-navigation-3250d683693780ed8f30d6ab41d9c2d8?pvs=21),High,Not started,
Left sidebar,,"Nav links for all 6 screens, active state highlighting",,Project foundation,App shell + navigation (https://www.notion.so/App-shell-navigation-3250d683693780ed8f30d6ab41d9c2d8?pvs=21),High,Not started,
React Router setup,,"Routes for /overview /nodes /map /data /alerts, node detail as /nodes/:id",,Project foundation,App shell + navigation (https://www.notion.so/App-shell-navigation-3250d683693780ed8f30d6ab41d9c2d8?pvs=21),High,Not started,
UseCaseContext (React context),,Stores active use case; all screens read data from it,,Project foundation,Use-case switcher (https://www.notion.so/Use-case-switcher-3250d68369378082a8bee2f8a8b009c2?pvs=21),High,Not started,
Switcher dropdown UI,,Shows use case name + icon; switches context on select,,Project foundation,Use-case switcher (https://www.notion.so/Use-case-switcher-3250d68369378082a8bee2f8a8b009c2?pvs=21),High,Not started,
KPI card component,,Reusable: label + big number + optional colour state (green/amber/red),,Screen 1 — Network overview,KPI strip (https://www.notion.so/KPI-strip-3250d683693780e4ba2dd584b190383c?pvs=21),High,Not started,
Wire KPI values to active dataset,,Compute counts from JSON on context change,,Screen 1 — Network overview,KPI strip (https://www.notion.so/KPI-strip-3250d683693780e4ba2dd584b190383c?pvs=21),High,Not started,
NodeRow component,,"Name, status badge, last seen, RSSI, battery bar",,Screen 1 — Network overview,Triage node list (https://www.notion.so/Triage-node-list-3250d6836937805cbaa9c221cf82fe3b?pvs=21),High,Not started,
Sort logic,,Offline → low battery (< 20%) → healthy,,Screen 1 — Network overview,Triage node list (https://www.notion.so/Triage-node-list-3250d6836937805cbaa9c221cf82fe3b?pvs=21),High,Not started,
Flatten + sort messages from dataset,,"Merge all node message arrays, sort by timestamp desc",,Screen 1 — Network overview,Recent messages feed (https://www.notion.so/Recent-messages-feed-3250d683693780ed96aad5ba34f8e788?pvs=21),Medium,Not started,
MessageRow component,,Timestamp · node name · decoded field values as key: value pills,,Screen 1 — Network overview,Recent messages feed (https://www.notion.so/Recent-messages-feed-3250d683693780ed96aad5ba34f8e788?pvs=21),Medium,Not started,
Node table,Simon Mayer,"Full list with columns: name, type, status, last seen, RSSI, SNR, battery",,Screen 2 — Node list,,High,Not started,"Table component with sortable columns (https://www.notion.so/Table-component-with-sortable-columns-3250d6836937803f9d5dfa8fa83269c1?pvs=21), Status badge component (https://www.notion.so/Status-badge-component-3250d683693780c5b7f7c0efa747ac4c?pvs=21)"
Table component with sortable columns,,Click header to sort asc/desc,,Screen 2 — Node list,Node table (https://www.notion.so/Node-table-3250d683693780fbbe71cc3f6889f23e?pvs=21),High,Not started,
Status badge component,,Green / amber / red pill: online / low-battery / offline,,Screen 2 — Node list,Node table (https://www.notion.so/Node-table-3250d683693780fbbe71cc3f6889f23e?pvs=21),High,Not started,
Search + filter bar,Simon Mayer,Text search by name; filter by status (all / online / offline / low battery),,Screen 2 — Node list,,Medium,Not started,"Search input (filter by node name) (https://www.notion.so/Search-input-filter-by-node-name-3250d68369378016956af052d5d272f2?pvs=21), Status filter tabs (https://www.notion.so/Status-filter-tabs-3250d683693780498d98f2096ae2fff1?pvs=21)"
Search input (filter by node name),,,,Screen 2 — Node list,Search + filter bar (https://www.notion.so/Search-filter-bar-3250d6836937808f9a97d16b1fc79ca8?pvs=21),Medium,Not started,
Status filter tabs,,All / Online / Offline / Low battery with counts,,Screen 2 — Node list,Search + filter bar (https://www.notion.so/Search-filter-bar-3250d6836937808f9a97d16b1fc79ca8?pvs=21),Medium,Not started,
Row click → node detail,Simon Mayer,Clicking any row navigates to /nodes/:id (Screen 5),,Screen 2 — Node list,,High,Not started,
Map base (Leaflet),Cristina Semikina,Render Leaflet map; fit bounds to active dataset node coordinates,,Screen 3 — Map view,,High,Not started,"Install react-leaflet (https://www.notion.so/Install-react-leaflet-3250d683693780c8ab00e9d8e77e619d?pvs=21), Auto-fit map to node positions on dataset switch (https://www.notion.so/Auto-fit-map-to-node-positions-on-dataset-switch-3250d68369378046bd23d43afc2cd27a?pvs=21)"
Install react-leaflet,,"Add dep, base map component",,Screen 3 — Map view,Map base (Leaflet) (https://www.notion.so/Map-base-Leaflet-3250d6836937807eb59ad8e07c6b5df6?pvs=21),High,Not started,
Auto-fit map to node positions on dataset switch,,fitBounds() from node lat/lng array,,Screen 3 — Map view,Map base (Leaflet) (https://www.notion.so/Map-base-Leaflet-3250d6836937807eb59ad8e07c6b5df6?pvs=21),High,Not started,
Node pins,Cristina Semikina,"Circle markers coloured by status (green/amber/red), sized by signal strength",,Screen 3 — Map view,,High,Not started,"Custom circle marker component (https://www.notion.so/Custom-circle-marker-component-3250d683693780fbb564cccf7cabaa44?pvs=21), Pin popup on click (https://www.notion.so/Pin-popup-on-click-3250d683693780bdbf12f0ddbaed098c?pvs=21)"
Custom circle marker component,,"Colour = status, stroke = low-battery warning",,Screen 3 — Map view,Node pins (https://www.notion.so/Node-pins-3250d68369378021aad2ff4cb4192189?pvs=21),High,Not started,
Pin popup on click,,"Shows: name, status, last seen, RSSI, battery + link to node detail",,Screen 3 — Map view,Node pins (https://www.notion.so/Node-pins-3250d68369378021aad2ff4cb4192189?pvs=21),High,Not started,
Filter bar,Cristina Semikina,All / Offline / Low battery / Alerts — hides/shows pins,,Screen 3 — Map view,,Medium,Not started,"Filter state + pin visibility logic (https://www.notion.so/Filter-state-pin-visibility-logic-3250d683693780069ff1edc3a7dc6717?pvs=21), Filter pill buttons UI with active counts (https://www.notion.so/Filter-pill-buttons-UI-with-active-counts-3250d683693780c3bc97dadb899c7f26?pvs=21)"
Filter state + pin visibility logic,,,,Screen 3 — Map view,Filter bar (https://www.notion.so/Filter-bar-3250d683693780c092a8c5aecc080f8a?pvs=21),Medium,Not started,
Filter pill buttons UI with active counts,,,,Screen 3 — Map view,Filter bar (https://www.notion.so/Filter-bar-3250d683693780c092a8c5aecc080f8a?pvs=21),Medium,Not started,
Side panel — node quick-view,Cristina Semikina,Clicking a pin opens a right-side panel with live values preview,,Screen 3 — Map view,,Medium,Not started,"Slide-in panel component (https://www.notion.so/Slide-in-panel-component-3250d683693780a1b882d79a881b26f5?pvs=21), Panel content: payload fields + link to full detail (https://www.notion.so/Panel-content-payload-fields-link-to-full-detail-3250d683693780b8bd5ce2a836a1de3d?pvs=21)"
Slide-in panel component,,Animated; closeable,,Screen 3 — Map view,Side panel — node quick-view (https://www.notion.so/Side-panel-node-quick-view-3250d683693780f0b8cddac0da3db957?pvs=21),Medium,Not started,
Panel content: payload fields + link to full detail,,,,Screen 3 — Map view,Side panel — node quick-view (https://www.notion.so/Side-panel-node-quick-view-3250d683693780f0b8cddac0da3db957?pvs=21),Medium,Not started,
Message log table,Cristina Semikina,"All messages from all nodes, paginated (50/page)",,Screen 4 — Data explorer,,High,Not started,"Dynamic columns from payload schema (https://www.notion.so/Dynamic-columns-from-payload-schema-3250d683693780a48d1ec6b023ad147b?pvs=21), Pagination component (https://www.notion.so/Pagination-component-3250d683693780f4926ffd02410a82f5?pvs=21)"
Dynamic columns from payload schema,,Columns = shared fields + use-case-specific payload fields,,Screen 4 — Data explorer,Message log table (https://www.notion.so/Message-log-table-3250d683693780ecbc71f6ce73339957?pvs=21),High,Not started,
Pagination component,,"Prev / Next, page indicator",,Screen 4 — Data explorer,Message log table (https://www.notion.so/Message-log-table-3250d683693780ecbc71f6ce73339957?pvs=21),Medium,Not started,
Filter bar,Cristina Semikina,"Filter by node (multi-select), date range picker",,Screen 4 — Data explorer,,Medium,Not started,"Node multi-select dropdown (https://www.notion.so/Node-multi-select-dropdown-3250d683693780619cd3e31b567defc9?pvs=21), Date range picker (https://www.notion.so/Date-range-picker-3250d68369378040b981c45374338dc8?pvs=21)"
Node multi-select dropdown,,,,Screen 4 — Data explorer,Filter bar (https://www.notion.so/Filter-bar-3250d68369378066886cddeb3a1ac704?pvs=21),Medium,Not started,
Date range picker,,Pre-built ranges: last hour / 24h / 7d + custom,,Screen 4 — Data explorer,Filter bar (https://www.notion.so/Filter-bar-3250d68369378066886cddeb3a1ac704?pvs=21),Medium,Not started,
CSV export,Cristina Semikina,Download filtered results as CSV,,Screen 4 — Data explorer,,Low,Not started,
Node header,Simon Mayer,"Name, DevEUI, type, status badge, last seen, gateway name",,Screen 5 — Node detail + charts,,High,Not started,
Live payload values panel,Simon Mayer,Auto-render all payload fields from active use case as value cards,,Screen 5 — Node detail + charts,,High,Not started,"ValueCard component (https://www.notion.so/ValueCard-component-3250d68369378090b65ff1d192f87bf9?pvs=21), Render cards dynamically from payload schema (https://www.notion.so/Render-cards-dynamically-from-payload-schema-3250d683693780119b88f02438504ad9?pvs=21)"
Signal history chart,Simon Mayer,"RSSI + SNR over time (line chart, time range picker)",,Screen 5 — Node detail + charts,,High,Not started,"Install + configure Recharts (https://www.notion.so/Install-configure-Recharts-3250d68369378023930dc58fff8c3ef1?pvs=21), Dual-line chart: RSSI + SNR (https://www.notion.so/Dual-line-chart-RSSI-SNR-3250d683693780d8b919cbb35c02041c?pvs=21)"
ValueCard component,,Field label + current value + unit; colour if above threshold,,Screen 5 — Node detail + charts,Live payload values panel (https://www.notion.so/Live-payload-values-panel-3250d6836937800ca0f5d316f8c5442c?pvs=21),High,Not started,
Render cards dynamically from payload schema,,No hardcoding — reads field list from use case config,,Screen 5 — Node detail + charts,Live payload values panel (https://www.notion.so/Live-payload-values-panel-3250d6836937800ca0f5d316f8c5442c?pvs=21),High,Not started,
Install + configure Recharts,,,,Screen 5 — Node detail + charts,Signal history chart (https://www.notion.so/Signal-history-chart-3250d68369378037a603ca7a19d959f4?pvs=21),High,Not started,
Dual-line chart: RSSI + SNR,,"Time on x-axis, value on y; tooltip on hover",,Screen 5 — Node detail + charts,Signal history chart (https://www.notion.so/Signal-history-chart-3250d68369378037a603ca7a19d959f4?pvs=21),High,Not started,
Metric charts per payload field,Simon Mayer,One chart per numeric field; same time range picker as signal chart,,Screen 5 — Node detail + charts,,High,Not started,"Single-metric line chart component (https://www.notion.so/Single-metric-line-chart-component-3250d683693780e8afddd9e788e1fe3b?pvs=21), Render one chart per numeric field (https://www.notion.so/Render-one-chart-per-numeric-field-3250d683693780579995da121834a883?pvs=21), Time range picker (1h / 6h / 24h / 7d) (https://www.notion.so/Time-range-picker-1h-6h-24h-7d-3250d68369378056bff2cf28ca8e51d0?pvs=21)"
Single-metric line chart component,,Reusable: accepts field name + message array,,Screen 5 — Node detail + charts,Metric charts per payload field (https://www.notion.so/Metric-charts-per-payload-field-3250d683693780109fe1f8ae5d14855b?pvs=21),High,Not started,
Render one chart per numeric field,,Dynamic — changes with use case,,Screen 5 — Node detail + charts,Metric charts per payload field (https://www.notion.so/Metric-charts-per-payload-field-3250d683693780109fe1f8ae5d14855b?pvs=21),High,Not started,
Time range picker (1h / 6h / 24h / 7d),,Shared across all charts on the page,,Screen 5 — Node detail + charts,Metric charts per payload field (https://www.notion.so/Metric-charts-per-payload-field-3250d683693780109fe1f8ae5d14855b?pvs=21),Medium,Not started,
Mini-map,Simon Mayer,Small non-interactive map showing node pin in context of other nodes,,Screen 5 — Node detail + charts,,Medium,Not started,Reuse Leaflet map at small size (https://www.notion.so/Reuse-Leaflet-map-at-small-size-3250d6836937806cb927d1b84c650660?pvs=21)
Reuse Leaflet map at small size,,Disable scroll zoom + interaction; highlight current node pin,,Screen 5 — Node detail + charts,Mini-map (https://www.notion.so/Mini-map-3250d68369378029ade4e44ca108a9ed?pvs=21),Medium,Not started,
Message history log,Simon Mayer,Last 50 messages for this node: timestamp + all payload fields,,Screen 5 — Node detail + charts,,Medium,Not started,Scrollable table showing decoded fields (https://www.notion.so/Scrollable-table-showing-decoded-fields-3250d68369378080aa5be17373f113b7?pvs=21)
Scrollable table showing decoded fields,,,,Screen 5 — Node detail + charts,Message history log (https://www.notion.so/Message-history-log-3250d68369378015aaffe87b68aa4c24?pvs=21),Medium,Not started,
Active alerts list,Cristina Semikina,"Cards for each currently triggered alert: severity, node, rule, time",,Screen 6 — Alerts,,High,Not started,AlertCard component (https://www.notion.so/AlertCard-component-3250d683693780c4beaac0c5927495d4?pvs=21)
AlertCard component,,"Severity icon (critical/warning/info), node name, rule description, timestamp",,Screen 6 — Alerts,Active alerts list (https://www.notion.so/Active-alerts-list-3250d683693780d79ad3d1c0ad05d062?pvs=21),High,Not started,
Alert history log,Cristina Semikina,"Table of past alert events: triggered, resolved, duration",,Screen 6 — Alerts,,Medium,Not started,"Alert history table (https://www.notion.so/Alert-history-table-3250d683693780bdbf7cdab28a3e4d81?pvs=21), Filter by node + severity (https://www.notion.so/Filter-by-node-severity-3250d6836937802cb401dd983beb3d37?pvs=21)"
Alert history table,,"Columns: severity, node, rule, triggered at, resolved at, duration",,Screen 6 — Alerts,Alert history log (https://www.notion.so/Alert-history-log-3250d683693780a89a72c11045a0a582?pvs=21),Medium,Not started,
Filter by node + severity,,,,Screen 6 — Alerts,Alert history log (https://www.notion.so/Alert-history-log-3250d683693780a89a72c11045a0a582?pvs=21),Low,Not started,
Alert detail panel,Cristina Semikina,Click an alert → slide-in panel with full context + link to node,,Screen 6 — Alerts,,Low,Not started,
Use-case colour theming,,"Each use case has an accent colour applied to badges, charts, active states",,Polish & showcase prep,,High,Not started,
Empty states,,Friendly message when no data / no alerts / no results,,Polish & showcase prep,,Medium,Not started,
Screen transition animations,,Subtle fade/slide between screens,,Polish & showcase prep,,Medium,Not started,
Responsive layout check,,"Ensure no overflow at 1280px, 1440px, 1920px",,Polish & showcase prep,,Low,Not started,
Demo walkthrough script,,"One-page notes: which screens to show, which nodes to click, what to highlight",,Polish & showcase prep,,Low,Not started,